id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_number_0
7,"Curs Manichiura / Pedichiura","Esti gata sa iti transformi pasiunea intr-o cariera de succes? Cursul nostru de Manichiura / Pedichiura este pasul perfect pentru a incepe aceasta calatorie. Acesta este conceput pentru a te ajuta sa devii un expert in manichiura. Inscrie-te si descopera cat de usor poti sa-ti urmezi pasiunea!","in stock",new,"2000.00 RON","1480.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-manichiura-pedichiura/,https://www.bravoryacademy.ro/plugins/courses/images/courses/7/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",26
21,"Curs Inspector / Referent Resurse Umane","Transforma-ti cariera cu un curs complet de Referent Resurse Umane! Invata sa recrutezi, sa gestionezi contractele si documentele legale, sa operezi ReGES Online (Revisal) si sa aplici legislatia muncii la zi. Cursul nostru iti ofera toate cunostintele necesare pentru a excela in domeniul HR. Inscrie-te azi si devino specialistul de care orice companie are nevoie!","in stock",new,"1600.00 RON","1120.00 RON",https://www.bravoryacademy.ro/cursuri/business-management/curs-referent-resurse-umane/,https://www.bravoryacademy.ro/plugins/courses/images/courses/21/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",30
15,"Curs Unghii cu Gel","Transforma-ti talentul in arta si cariera cu cursul nostru de unghii cu gel! Fie ca esti incepator sau avansat, vei invata cele mai noi tehnici si secrete din domeniu. Descopera tehnicile care iti vor transforma talentul intr-o cariera de invidiat in lumea manichiurii! Pasul tau catre succes incepe aici, in lumea culorilor si formelor spectaculoase!","in stock",new,"2000.00 RON","1480.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-unghii-cu-gel/,https://www.bravoryacademy.ro/plugins/courses/images/courses/15/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",26
23,"Curs Unghii cu Gel Nivel 2","Ai invatat bazele, acum e timpul sa perfectionezi arta! Cursul de Unghii cu Gel Nivel 2 te invata tehnici avansate precum forme, underfill, curatarea cuticulei, constructie si Baby Boomer. Creeaza unghii perfecte si diferentiaza-te ca profesionist.","in stock",new,"2000.00 RON","1500.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-unghii-cu-gel-nivel-2/,https://www.bravoryacademy.ro/plugins/courses/images/courses/23/0.jpg,"Bravory Academy",Beauty,Bucuresti,,25
12,"Curs Formator (Trainer)","Devino Formator Acreditat 100% Online. Invata sa livrezi training-uri de impact si obtine o diploma acreditata, recunoscuta national si in UE. Dobandesti tehnici moderne de predare, abilitati de comunicare si increderea de a conduce orice audienta. Curs live pe Zoom, fara deplasari, cu pregatire practica pas cu pas. Inscrie-te la grupa urmatoare!","in stock",new,"1500.00 RON","900.00 RON",https://www.bravoryacademy.ro/cursuri/business-management/curs-formator-trainer/,https://www.bravoryacademy.ro/plugins/courses/images/courses/12/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",40
27,"Curs GDPR / DPO","Evita amenzi de pana la 20 mil. EUR si invata cum sa aplici GDPR corect in firma. Curs practic, pas cu pas, cu exemple reale, documente si proceduri gata de folosit. Obtii diploma acreditata si siguranta in fata controalelor.","in stock",new,"960.00 RON",,https://www.bravoryacademy.ro/cursuri/business-management/curs-gdpr-dpo-responsabil-protectia-datelor-cu-caracter-personal/,https://www.bravoryacademy.ro/plugins/courses/images/courses/27/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",0
4,"Curs Cosmetica","Vrei sa devii cosmeticiana si nu stii de unde sa incepi? La cursul nostru acreditat inveti de la zero, pas cu pas, prin practica intensiva ca in salon. Dobandesti competentele necesare pentru a lucra imediat, cu incredere, in saloane de top sau pe cont propriu.","in stock",new,"7000.00 RON","4900.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-cosmetica/,https://www.bravoryacademy.ro/plugins/courses/images/courses/4/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",30
28,"Curs Manager de Proiect","Devino liderul de care orice echipa are nevoie! Invata sa gestionezi proiecte complexe de la A la Z, sa respecti termenele limita si sa maximizezi profitabilitatea. Un curs practic, 100% orientat catre piata actuala, care iti transforma cariera in 1 luna.","in stock",new,"960.00 RON",,https://www.bravoryacademy.ro/cursuri/business-management/curs-manager-de-proiect/,https://www.bravoryacademy.ro/plugins/courses/images/courses/28/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",0
18,"Curs Extensii Gene Fir cu fir, 2D si 3D","Nu ai experienta? Te invatam noi totul, pas cu pas. Invata sa aplici extensii de gene de la zero, printr-un curs axat 90% pe practica reala. Te ghidam prin tehnicile Fir cu Fir, 2D si 3D, iti oferim diploma acreditata si te ajutam sa iti gasesti primele cliente. La final, pleci pregatita sa lucrezi in salon sau pe cont propriu.","in stock",new,"3000.00 RON","1800.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-extensii-gene-fir-cu-fir-2d-si-3d/,https://www.bravoryacademy.ro/plugins/courses/images/courses/18/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",40
16,"Curs Colorimetrie","La Cursul de Colorimetrie vei studia tot ce trebuie sa stii despre colorarea corecta a parului. Tehnicile predate se adreseaza atat celor aflati la inceput de drum cat si acelora care doresc sa evolueze si sa se dezvolte in domeniu, invatand de la experti in frumusete.","in stock",new,"3500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-colorimetrie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/16/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",0
17,"Curs Tunsoare","Cursul de Tunsori Femei este unul de initiere, la finalul caruia se va obtine un certificat de absolvire autorizat de Comisia de Autorizare a Municipiului Bucuresti. Pe durata cursului, toate produsele sunt puse la dispozitie gratuit pentru orele practice.","in stock",new,"4500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-tunsoare/,https://www.bravoryacademy.ro/plugins/courses/images/courses/17/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",0
6,"Curs Automachiaj","Cum ar fi sa devii propriul tau make-up artist profesionist? Urmeaza cursul de automachiaj si asigura-te ca obtii cele mai bune rezultate pe propria fata, ca iti pui in evidenta cele mai frumoase trasaturi si ca stii cu adevarat sa folosesti trusa de machiaj! Printr-o experienta inedita, sub indrumarea unor specialisti, vei dobandi cunostintele de baza pentru orice tip de machiaj.","in stock",new,"500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-automachiaj/,https://www.bravoryacademy.ro/plugins/courses/images/courses/6/0.jpg,"Bravory Academy",Beauty,Bucuresti,,0
8,"Curs Stilizare Gene si Sprancene","Cursul de Stilizare a Genelor si Sprancenelor este unul de initiere, la finalul caruia se va obtine un certificat de absolvire acreditat de Autoritatea Nationala pentru Calificari, cu care veti putea lucra atat in tara cat si in strainatate. Acesta arta necesita specialisti care sa exploreze mai departe secretul acestei meserii in voga. Toate produsele , pe duata cursului, vor fi puse la dispozitie Gratuit cursantilor nostri.","in stock",new,"3500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-stilizare-gene-si-sprancene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/8/0.jpg,"Bravory Academy",Beauty,,"Curs acreditat",0
9,"Curs Laminare Gene si Sprancene","Urmeaza cursul de laminare gene si sprancene pentru a putea sa iti constriesti o cariera de succes ca lash stilist. Cursul se bazeaza pe foarte multa practica fiind sustinut de partea teoretica ce ajuta la fixarea detaliilor importante si intelegerea particularitatilor specifice a modului de lucru. Pe durata cursului toate produsele sunt puse la dispozitie gratuit cursantilor nostri","in stock",new,"2000.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-laminare-gene-si-sprancene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/9/0.jpg,"Bravory Academy",Beauty,,,0
10,"Curs Pensat","Doresti sa inveti cele mai interesante trucuri si tehnici de pensat si sa iti transformi pasiunea intr-un job? Urmeaza cursul de Pensat Profesional pentru a beneficia de cea mai optima sansa si a deveni un specialist in domeniu. Cursul studiaza tehnici complexe de la A la Z pentru cei care isi dorect o specializare sau perfectionare intr-o cariera de succes.","in stock",new,"3500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-pensat/,https://www.bravoryacademy.ro/plugins/courses/images/courses/10/0.jpg,"Bravory Academy",Beauty,,"Curs acreditat",0
5,"Curs Masaj (Maseur)","Invata o meserie practica si moderna printr-un curs de masaj acreditat, bazat pe 90% practica aplicata. Chiar daca pornesti fara experienta, vei descoperi pas cu pas tehnici actuale de masaj utilizate in saloane si centre wellness moderne, intr-un curs spre practica si cerintele reale din domeniu.","in stock",new,"5500.00 RON","4730.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-masaj-maseur/,https://www.bravoryacademy.ro/plugins/courses/images/courses/5/0.jpg,"Bravory Academy",Beauty,,"Curs acreditat",14
33,"Curs Micropigmentare","Invata tehnici moderne de micropigmentare si transforma pasiunea pentru beauty intr-o meserie profitabila. Curs acreditat, bazat pe practica reala si exercitii aplicate, unde vei invata pas cu pas tehnici actuale pentru sprancene perfect definite si rezultate naturale apreciate de cliente.","in stock",new,"6500.00 RON",,https://www.bravoryacademy.ro/cursuri/beauty/curs-micropigmentare/,https://www.bravoryacademy.ro/plugins/courses/images/courses/33/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",0
30,"Curs Fotografie","Treci de la simple poze la fotografii care spun o poveste. Invata sa stapanesti lumina si compozitia printr-o metoda practica, explicata pe intelesul tau. Transforma-ti pasiunea intr-o abilitate remarcabila si surprinde lumea exact asa cum o vezi.","in stock",new,"1700.00 RON",,https://www.bravoryacademy.ro/cursuri/foto-video/curs-fotografie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/30/0.jpg,"Bravory Academy",Foto-Video,Bucuresti,"Curs acreditat",0
25,"Curs Croitorie","Transforma-ti pasiunea in piese vestimentare unice prin 90% practica reala! Invata arta croitoriei de la zero alaturi de traineri de top si obtine o diploma acreditata recunoscuta. Indiferent daca vrei o garderoba proprie sau o cariera profitabila, te ghidam pas cu pas de la prima cusatura.","in stock",new,"5000.00 RON","3800.00 RON",https://www.bravoryacademy.ro/cursuri/fashion/curs-croitorie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/25/0.jpg,"Bravory Academy",Fashion,Bucuresti,"Curs acreditat",24
24,"Curs Decorator Floral","Transforma-ti pasiunea pentru flori intr-o cariera de succes! Te ghidam pas cu pas, de la prima floare aleasa pana la realizarea unor aranjamente de lux spectaculoase. Cursul nostru este 90% practic si conceput special pentru cei care pornesc de la zero. Obtine o diploma acreditata si invata tehnicile moderne de design floral care fac diferenta in industria evenimentelor.","in stock",new,"3600.00 RON","2700.00 RON",https://www.bravoryacademy.ro/cursuri/design/curs-decorator-floral/,https://www.bravoryacademy.ro/plugins/courses/images/courses/24/0.jpg,"Bravory Academy",Design,Bucuresti,"Curs acreditat",25
19,"Curs Unghii cu Gel","Transforma-ti pasiunea pentru frumusete in arta cu cursul nostru de unghii cu gel! Fie ca esti la inceput de drum sau ai deja experienta, vei invata cele mai noi tehnici si secrete pentru a crea manichiuri spectaculoase. Exploreaza tehnici creative care iti vor duce hobby-ul la urmatorul nivel! Incepe acum aventura in lumea culorilor si formelor captivante, si descopera bucuria de a crea unghii de poveste!","in stock",new,"1800.00 RON","1350.00 RON",https://www.bravoryacademy.ro/cursuri/hobby/unghii-hobby/,https://www.bravoryacademy.ro/plugins/courses/images/courses/19/0.jpg,"Bravory Academy",Hobby,Bucuresti,,25
13,"Curs Design Interior","Construieste-ti o cariera in design interior printr-un curs acreditat, orientat pe proiecte reale. De la primul releveu pana la implementarea finala, inveti procesul complet si dobandesti increderea de a semna amenajari cu impact si de a deveni solutia cautata de clienti.","in stock",new,"4000.00 RON","2800.00 RON",https://www.bravoryacademy.ro/cursuri/design/curs-design-interior/,https://www.bravoryacademy.ro/plugins/courses/images/courses/13/0.jpg,"Bravory Academy",Design,,"Curs acreditat",30
11,"Curs Inspector SSM","Vrei o cariera stabila in protectia muncii? Cursul de Inspector SSM, acreditat, este conceput pentru cei care vor sa stapaneasca legislatia si sa aplice corect masurile de siguranta. Inveti sa gestionezi activitatea de prevenire si protectie in mod responsabil, dobandind competentele necesare pentru a activa legal in domeniu.","in stock",new,"1500.00 RON","900.00 RON",https://www.bravoryacademy.ro/cursuri/protectia-muncii/curs-inspector-ssm/,https://www.bravoryacademy.ro/plugins/courses/images/courses/11/0.jpg,"Bravory Academy","Protectia Muncii","Online Live (pe Zoom)","Curs acreditat",40
