ID,"Item title","Item subtitle","Final URL","Image URL","Item description","Item category",Price,"Sale price","Formatted price","Formatted sale price"
27,"Curs GDPR / DPO","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-gdpr-dpo-responsabil-protectia-datelor-cu-caracter-personal/,https://www.bravoryacademy.ro/plugins/courses/images/courses/27/0.jpg,"Evita amenzi de pana la 20 mil. EUR si invata cum sa aplici GDPR corect in firma. Curs practic, pas cu pas, cu exemple reale, documente si proceduri gata de folosit. Obtii diploma acreditata si siguranta in fata controalelor.","Business & Management","960.00 RON",,"960 lei",
4,"Curs Cosmetica","Bucuresti · 6 luni",https://www.bravoryacademy.ro/cursuri/beauty/curs-cosmetica/,https://www.bravoryacademy.ro/plugins/courses/images/courses/4/0.jpg,"Vrei sa devii cosmeticiana si nu stii de unde sa incepi? La cursul nostru acreditat inveti de la zero, pas cu pas, prin practica intensiva ca in salon. Dobandesti competentele necesare pentru a lucra imediat, cu incredere, in saloane de top sau pe cont propriu.",Beauty,"7000.00 RON","4900.00 RON","7.000 lei","4.900 lei"
28,"Curs Manager de Proiect","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-manager-de-proiect/,https://www.bravoryacademy.ro/plugins/courses/images/courses/28/0.jpg,"Devino liderul de care orice echipa are nevoie! Invata sa gestionezi proiecte complexe de la A la Z, sa respecti termenele limita si sa maximizezi profitabilitatea. Un curs practic, 100% orientat catre piata actuala, care iti transforma cariera in 1 luna.","Business & Management","960.00 RON",,"960 lei",
18,"Curs Extensii Gene Fir cu fir, 2D si 3D","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-extensii-gene-fir-cu-fir-2d-si-3d/,https://www.bravoryacademy.ro/plugins/courses/images/courses/18/0.jpg,"Nu ai experienta? Te invatam noi totul, pas cu pas. Invata sa aplici extensii de gene de la zero, printr-un curs axat 90% pe practica reala. Te ghidam prin tehnicile Fir cu Fir, 2D si 3D, iti oferim diploma acreditata si te ajutam sa iti gasesti primele cliente. La final, pleci pregatita sa lucrezi in salon sau pe cont propriu.",Beauty,"3000.00 RON","1800.00 RON","3.000 lei","1.800 lei"
16,"Curs Colorimetrie","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-colorimetrie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/16/0.jpg,"La Cursul de Colorimetrie vei studia tot ce trebuie sa stii despre colorarea corecta a parului. Tehnicile predate se adreseaza atat celor aflati la inceput de drum cat si acelora care doresc sa evolueze si sa se dezvolte in domeniu, invatand de la experti in frumusete.",Beauty,"3500.00 RON",,"3.500 lei",
17,"Curs Tunsoare","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-tunsoare/,https://www.bravoryacademy.ro/plugins/courses/images/courses/17/0.jpg,"Cursul de Tunsori Femei este unul de initiere, la finalul caruia se va obtine un certificat de absolvire autorizat de Comisia de Autorizare a Municipiului Bucuresti. Pe durata cursului, toate produsele sunt puse la dispozitie gratuit pentru orele practice.",Beauty,"4500.00 RON",,"4.500 lei",
6,"Curs Automachiaj","Bucuresti · 1 zi intensiv",https://www.bravoryacademy.ro/cursuri/beauty/curs-automachiaj/,https://www.bravoryacademy.ro/plugins/courses/images/courses/6/0.jpg,"Cum ar fi sa devii propriul tau make-up artist profesionist? Urmeaza cursul de automachiaj si asigura-te ca obtii cele mai bune rezultate pe propria fata, ca iti pui in evidenta cele mai frumoase trasaturi si ca stii cu adevarat sa folosesti trusa de machiaj! Printr-o experienta inedita, sub indrumarea unor specialisti, vei dobandi cunostintele de baza pentru orice tip de machiaj.",Beauty,"500.00 RON",,"500 lei",
8,"Curs Stilizare Gene si Sprancene","5 zile",https://www.bravoryacademy.ro/cursuri/beauty/curs-stilizare-gene-si-sprancene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/8/0.jpg,"Cursul de Stilizare a Genelor si Sprancenelor este unul de initiere, la finalul caruia se va obtine un certificat de absolvire acreditat de Autoritatea Nationala pentru Calificari, cu care veti putea lucra atat in tara cat si in strainatate. Acesta arta necesita specialisti care sa exploreze mai departe secretul acestei meserii in voga. Toate produsele , pe duata cursului, vor fi puse la dispozitie Gratuit cursantilor nostri.",Beauty,"3500.00 RON",,"3.500 lei",
9,"Curs Laminare Gene si Sprancene","5 zile",https://www.bravoryacademy.ro/cursuri/beauty/curs-laminare-gene-si-sprancene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/9/0.jpg,"Urmeaza cursul de laminare gene si sprancene pentru a putea sa iti constriesti o cariera de succes ca lash stilist. Cursul se bazeaza pe foarte multa practica fiind sustinut de partea teoretica ce ajuta la fixarea detaliilor importante si intelegerea particularitatilor specifice a modului de lucru. Pe durata cursului toate produsele sunt puse la dispozitie gratuit cursantilor nostri",Beauty,"2000.00 RON",,"2.000 lei",
10,"Curs Pensat","3 zile",https://www.bravoryacademy.ro/cursuri/beauty/curs-pensat/,https://www.bravoryacademy.ro/plugins/courses/images/courses/10/0.jpg,"Doresti sa inveti cele mai interesante trucuri si tehnici de pensat si sa iti transformi pasiunea intr-un job? Urmeaza cursul de Pensat Profesional pentru a beneficia de cea mai optima sansa si a deveni un specialist in domeniu. Cursul studiaza tehnici complexe de la A la Z pentru cei care isi dorect o specializare sau perfectionare intr-o cariera de succes.",Beauty,"3500.00 RON",,"3.500 lei",
5,"Curs Masaj (Maseur)","5 luni",https://www.bravoryacademy.ro/cursuri/beauty/curs-masaj-maseur/,https://www.bravoryacademy.ro/plugins/courses/images/courses/5/0.jpg,"Invata o meserie practica si moderna printr-un curs de masaj acreditat, bazat pe 90% practica aplicata. Chiar daca pornesti fara experienta, vei descoperi pas cu pas tehnici actuale de masaj utilizate in saloane si centre wellness moderne, intr-un curs spre practica si cerintele reale din domeniu.",Beauty,"5500.00 RON","4730.00 RON","5.500 lei","4.730 lei"
33,"Curs Micropigmentare","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-micropigmentare/,https://www.bravoryacademy.ro/plugins/courses/images/courses/33/0.jpg,"Invata tehnici moderne de micropigmentare si transforma pasiunea pentru beauty intr-o meserie profitabila. Curs acreditat, bazat pe practica reala si exercitii aplicate, unde vei invata pas cu pas tehnici actuale pentru sprancene perfect definite si rezultate naturale apreciate de cliente.",Beauty,"6500.00 RON",,"6.500 lei",
30,"Curs Fotografie","Bucuresti · 2 luni",https://www.bravoryacademy.ro/cursuri/foto-video/curs-fotografie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/30/0.jpg,"Treci de la simple poze la fotografii care spun o poveste. Invata sa stapanesti lumina si compozitia printr-o metoda practica, explicata pe intelesul tau. Transforma-ti pasiunea intr-o abilitate remarcabila si surprinde lumea exact asa cum o vezi.",Foto-Video,"1700.00 RON",,"1.700 lei",
25,"Curs Croitorie","Bucuresti · 4 luni",https://www.bravoryacademy.ro/cursuri/fashion/curs-croitorie/,https://www.bravoryacademy.ro/plugins/courses/images/courses/25/0.jpg,"Transforma-ti pasiunea in piese vestimentare unice prin 90% practica reala! Invata arta croitoriei de la zero alaturi de traineri de top si obtine o diploma acreditata recunoscuta. Indiferent daca vrei o garderoba proprie sau o cariera profitabila, te ghidam pas cu pas de la prima cusatura.",Fashion,"5000.00 RON","3800.00 RON","5.000 lei","3.800 lei"
24,"Curs Decorator Floral","Bucuresti · 2.5 luni",https://www.bravoryacademy.ro/cursuri/design/curs-decorator-floral/,https://www.bravoryacademy.ro/plugins/courses/images/courses/24/0.jpg,"Transforma-ti pasiunea pentru flori intr-o cariera de succes! Te ghidam pas cu pas, de la prima floare aleasa pana la realizarea unor aranjamente de lux spectaculoase. Cursul nostru este 90% practic si conceput special pentru cei care pornesc de la zero. Obtine o diploma acreditata si invata tehnicile moderne de design floral care fac diferenta in industria evenimentelor.",Design,"3600.00 RON","2700.00 RON","3.600 lei","2.700 lei"
19,"Curs Unghii cu Gel","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/hobby/unghii-hobby/,https://www.bravoryacademy.ro/plugins/courses/images/courses/19/0.jpg,"Transforma-ti pasiunea pentru frumusete in arta cu cursul nostru de unghii cu gel! Fie ca esti la inceput de drum sau ai deja experienta, vei invata cele mai noi tehnici si secrete pentru a crea manichiuri spectaculoase. Exploreaza tehnici creative care iti vor duce hobby-ul la urmatorul nivel! Incepe acum aventura in lumea culorilor si formelor captivante, si descopera bucuria de a crea unghii de poveste!",Hobby,"1800.00 RON","1350.00 RON","1.800 lei","1.350 lei"
13,"Curs Design Interior","10 saptamani",https://www.bravoryacademy.ro/cursuri/design/curs-design-interior/,https://www.bravoryacademy.ro/plugins/courses/images/courses/13/0.jpg,"Construieste-ti o cariera in design interior printr-un curs acreditat, orientat pe proiecte reale. De la primul releveu pana la implementarea finala, inveti procesul complet si dobandesti increderea de a semna amenajari cu impact si de a deveni solutia cautata de clienti.",Design,"4000.00 RON","2800.00 RON","4.000 lei","2.800 lei"
11,"Curs Inspector SSM","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/protectia-muncii/curs-inspector-ssm/,https://www.bravoryacademy.ro/plugins/courses/images/courses/11/0.jpg,"Vrei o cariera stabila in protectia muncii? Cursul de Inspector SSM, acreditat, este conceput pentru cei care vor sa stapaneasca legislatia si sa aplice corect masurile de siguranta. Inveti sa gestionezi activitatea de prevenire si protectie in mod responsabil, dobandind competentele necesare pentru a activa legal in domeniu.","Protectia Muncii","1500.00 RON","900.00 RON","1.500 lei","900 lei"
